 pressure | temperature |   density | altitude
9.665e-10 |       900.3 | 2.582e-11 |   1028.6
9.697e-10 |       900.6 |  2.59e-11 |   1028.1
9.953e-10 |       902.7 | 2.653e-11 |   1023.8
1.028e-09 |       903.5 | 2.738e-11 |   1018.3
1.062e-09 |       902.8 | 2.831e-11 |   1012.9
1.097e-09 |       901.0 | 2.931e-11 |   1007.5
1.133e-09 |       898.1 | 3.038e-11 |   1002.1
1.171e-09 |       895.1 | 3.149e-11 |   996.77
 1.21e-09 |       891.4 | 3.268e-11 |    991.4
 1.25e-09 |       888.0 |  3.39e-11 |   986.04
1.292e-09 |       884.4 | 3.518e-11 |   980.69
1.335e-09 |       880.9 | 3.651e-11 |   975.34
 1.38e-09 |       877.5 | 3.788e-11 |   970.01
1.426e-09 |       874.6 | 3.929e-11 |   964.69
1.474e-09 |       871.9 | 4.075e-11 |   959.37
1.524e-09 |       869.9 | 4.223e-11 |   954.07
1.575e-09 |       868.0 | 4.375e-11 |   948.77
1.628e-09 |       866.8 |  4.53e-11 |   943.48
1.683e-09 |       865.7 |  4.69e-11 |    938.2
 1.74e-09 |       865.2 | 4.852e-11 |   932.93
1.799e-09 |       865.0 | 5.017e-11 |   927.67
1.859e-09 |       865.1 | 5.186e-11 |   922.42
1.922e-09 |       865.7 | 5.357e-11 |   917.18
1.986e-09 |       866.4 | 5.533e-11 |   911.95
2.052e-09 |       867.4 | 5.712e-11 |   906.72
2.121e-09 |       868.7 | 5.895e-11 |   901.51
2.191e-09 |       870.2 | 6.081e-11 |    896.3
2.264e-09 |       871.6 | 6.274e-11 |   891.11
2.339e-09 |       873.3 | 6.469e-11 |   885.92
2.416e-09 |       874.9 | 6.671e-11 |   880.74
2.495e-09 |       876.7 | 6.877e-11 |   875.57
2.577e-09 |       878.4 | 7.089e-11 |   870.41
2.661e-09 |       879.9 | 7.308e-11 |   865.26
2.747e-09 |       881.4 | 7.534e-11 |   860.12
2.836e-09 |       882.7 | 7.767e-11 |   854.99
2.927e-09 |       883.8 | 8.009e-11 |   849.87
3.022e-09 |       884.7 |  8.26e-11 |   844.75
3.119e-09 |       885.3 | 8.521e-11 |   839.65
3.219e-09 |       885.5 | 8.792e-11 |   834.55
3.322e-09 |       885.5 | 9.076e-11 |   829.47
3.428e-09 |       885.0 | 9.372e-11 |   824.39
3.537e-09 |       884.3 | 9.681e-11 |   819.32
 3.65e-09 |       883.1 |     1e-10 |   814.26
3.767e-09 |       881.4 | 1.035e-10 |   809.21
3.887e-09 |       879.2 |  1.07e-10 |   804.17
4.011e-09 |       876.7 | 1.108e-10 |   799.14
 4.14e-09 |       873.8 | 1.147e-10 |   794.12
4.273e-09 |       870.1 |  1.19e-10 |    789.1
 4.41e-09 |       866.0 | 1.234e-10 |    784.1
4.553e-09 |       861.4 | 1.281e-10 |    779.1
4.701e-09 |       856.4 |  1.33e-10 |   774.12
4.854e-09 |       851.0 | 1.383e-10 |   769.14
5.013e-09 |       845.2 | 1.438e-10 |   764.17
5.178e-09 |       839.0 | 1.497e-10 |   759.22
 5.35e-09 |       832.5 | 1.559e-10 |   754.27
5.529e-09 |       825.7 | 1.624e-10 |   749.33
5.715e-09 |       818.6 | 1.694e-10 |    744.4
5.908e-09 |       811.2 | 1.767e-10 |   739.48
 6.11e-09 |       803.6 | 1.845e-10 |   734.57
 6.32e-09 |       794.2 | 1.932e-10 |   729.66
 6.54e-09 |       785.0 | 2.023e-10 |   724.77
 6.77e-09 |       775.9 | 2.119e-10 |   719.88
7.011e-09 |       766.9 | 2.221e-10 |   715.01
7.263e-09 |       758.1 | 2.327e-10 |   710.14
7.526e-09 |       749.7 | 2.439e-10 |   705.29
7.802e-09 |       741.7 | 2.557e-10 |   700.44
 8.09e-09 |       734.1 | 2.679e-10 |    695.6
8.392e-09 |       727.1 | 2.807e-10 |   690.77
8.707e-09 |       720.4 |  2.94e-10 |   685.95
9.037e-09 |       714.0 | 3.079e-10 |   681.14
9.381e-09 |       708.5 | 3.223e-10 |   676.34
9.741e-09 |       703.3 | 3.373e-10 |   671.55
1.012e-08 |       698.6 | 3.528e-10 |   666.77
1.051e-08 |       694.3 | 3.689e-10 |   661.99
1.092e-08 |       690.5 | 3.855e-10 |   657.23
1.135e-08 |       687.1 | 4.027e-10 |   652.47
1.179e-08 |       684.2 | 4.204e-10 |   647.73
1.226e-08 |       681.6 | 4.387e-10 |   642.99
1.274e-08 |       679.5 | 4.576e-10 |   638.26
1.324e-08 |       677.7 | 4.771e-10 |   633.54
1.376e-08 |       676.3 | 4.971e-10 |   628.84
1.431e-08 |       675.2 | 5.178e-10 |   624.14
1.487e-08 |       674.4 |  5.39e-10 |   619.45
1.546e-08 |       671.6 | 5.629e-10 |   614.77
1.608e-08 |       669.3 | 5.874e-10 |   610.09
1.671e-08 |       669.6 | 6.107e-10 |   605.43
1.737e-08 |       669.8 | 6.349e-10 |   600.78
1.806e-08 |       670.2 | 6.599e-10 |   596.14
1.877e-08 |       670.5 |  6.86e-10 |    591.5
1.951e-08 |       670.6 | 7.132e-10 |   586.88
2.028e-08 |       670.5 | 7.418e-10 |   582.26
2.108e-08 |       670.1 | 7.717e-10 |   577.65
 2.19e-08 |       669.3 | 8.035e-10 |   573.06
2.276e-08 |       667.9 | 8.371e-10 |   568.47
2.366e-08 |       666.0 |  8.73e-10 |   563.89
2.459e-08 |       663.6 | 9.112e-10 |   559.32
2.556e-08 |       660.3 | 9.524e-10 |   554.76
2.658e-08 |       656.2 | 9.968e-10 |   550.21
2.764e-08 |       651.3 | 1.045e-09 |   545.67
2.875e-08 |       645.0 | 1.099e-09 |   541.14
2.992e-08 |       635.0 | 1.162e-09 |   536.61
3.115e-08 |       625.8 | 1.229e-09 |    532.1
3.245e-08 |       615.5 | 1.303e-09 |   527.59
3.384e-08 |       603.5 | 1.387e-09 |    523.1
3.531e-08 |       590.3 | 1.481e-09 |   518.61
3.688e-08 |       577.3 | 1.583e-09 |   514.14
3.855e-08 |       565.8 |  1.69e-09 |   509.67
4.033e-08 |       555.9 | 1.801e-09 |   505.21
4.223e-08 |       547.3 | 1.916e-09 |   500.76
4.424e-08 |       540.6 | 2.035e-09 |   496.33
4.636e-08 |       536.8 |  2.15e-09 |    491.9
 4.86e-08 |       533.6 | 2.271e-09 |   487.48
5.095e-08 |       534.4 |  2.38e-09 |   483.07
5.341e-08 |       536.4 | 2.488e-09 |   478.66
5.597e-08 |       538.4 | 2.602e-09 |   474.27
5.864e-08 |       539.4 | 2.725e-09 |   469.89
6.144e-08 |       538.6 | 2.862e-09 |   465.52
6.438e-08 |       536.4 | 3.016e-09 |   461.15
6.748e-08 |       533.1 | 3.184e-09 |    456.8
7.075e-08 |       527.7 | 3.377e-09 |   452.45
7.422e-08 |       518.5 | 3.613e-09 |   448.11
7.794e-08 |       504.3 |  3.91e-09 |   443.79
8.202e-08 |       480.0 | 4.333e-09 |   439.47
8.656e-08 |       452.8 | 4.859e-09 |   435.16
9.165e-08 |       427.7 | 5.458e-09 |   430.86
9.732e-08 |       410.2 | 6.057e-09 |   426.57
1.036e-07 |       398.0 | 6.659e-09 |   422.29
1.104e-07 |       389.0 | 7.279e-09 |   418.02
1.178e-07 |       382.4 | 7.922e-09 |   413.76
1.259e-07 |       378.8 | 8.562e-09 |   409.51
1.345e-07 |       376.2 | 9.234e-09 |   405.27
1.439e-07 |       371.9 | 1.001e-08 |   401.04
1.541e-07 |       361.9 | 1.105e-08 |   396.81
1.655e-07 |       344.2 | 1.252e-08 |    392.6
1.784e-07 |       324.0 | 1.439e-08 |   388.39
1.934e-07 |       302.9 | 1.675e-08 |    384.2
2.107e-07 |       289.3 | 1.916e-08 |   380.01
2.304e-07 |       276.5 |   2.2e-08 |   375.84
2.529e-07 |       268.1 | 2.499e-08 |   371.67
2.784e-07 |       258.2 | 2.867e-08 |   367.51
3.084e-07 |       241.1 | 3.412e-08 |   363.36
3.437e-07 |       230.5 | 3.992e-08 |   359.22
3.834e-07 |       230.6 | 4.468e-08 |   355.09
4.312e-07 |       208.6 | 5.574e-08 |   350.97
4.879e-07 |       204.5 | 6.453e-08 |   346.86
5.537e-07 |       200.2 | 7.498e-08 |   342.76
6.296e-07 |       197.5 | 8.662e-08 |   338.67
7.179e-07 |       193.1 | 1.013e-07 |   334.59
  8.2e-07 |       192.4 | 1.164e-07 |   330.52
9.355e-07 |       195.3 | 1.311e-07 |   326.45
1.066e-06 |       196.5 | 1.487e-07 |    322.4
1.215e-06 |       194.3 | 1.717e-07 |   318.35
1.383e-06 |       200.1 | 1.901e-07 |   314.32
1.569e-06 |       204.3 | 2.115e-07 |   310.29
1.775e-06 |       207.2 | 2.363e-07 |   306.28
2.011e-06 |       197.1 | 2.816e-07 |   302.27
2.317e-06 |       169.4 | 3.781e-07 |   298.27
2.685e-06 |       171.9 | 4.319e-07 |   294.29
 3.13e-06 |       160.1 | 5.409e-07 |   290.31
3.684e-06 |       152.7 | 6.679e-07 |   286.34
4.343e-06 |       154.2 | 7.803e-07 |   282.38
5.122e-06 |       153.4 | 9.251e-07 |   278.43
 6.01e-06 |       160.3 |  1.04e-06 |    274.5
7.022e-06 |       160.8 | 1.211e-06 |   270.57
8.247e-06 |       152.5 | 1.501e-06 |   266.65
9.739e-06 |       149.7 | 1.805e-06 |   262.74
 1.15e-05 |       151.7 | 2.103e-06 |   258.84
