  pressure | temperature |    density | altitude
5.0853e-11 |     142.449 |  1.672e-10 |  140.855
 5.351e-11 |     142.863 | 1.7596e-10 |  140.403
5.6302e-11 |      143.35 | 1.8507e-10 |  139.952
5.9236e-11 |     143.772 | 1.9476e-10 |  139.502
6.2318e-11 |     144.384 |  2.047e-10 |  139.052
6.5561e-11 |     144.263 | 2.1623e-10 |  138.603
6.8982e-11 |     144.271 | 2.2822e-10 |  138.155
7.2574e-11 |     145.288 | 2.3915e-10 |  137.707
7.6339e-11 |     145.948 | 2.5115e-10 |   137.26
8.0284e-11 |     146.773 |  2.634e-10 |  136.814
8.4415e-11 |     147.665 | 2.7604e-10 |  136.368
8.8779e-11 |     145.943 | 2.9452e-10 |  135.923
9.3372e-11 |     147.815 |  3.066e-10 |  135.479
9.8114e-11 |     151.569 | 3.1493e-10 |  135.035
1.0302e-10 |     152.623 | 3.2915e-10 |  134.592
1.0816e-10 |     152.811 |  3.459e-10 |   134.15
1.1358e-10 |     151.792 | 3.6646e-10 |  133.708
 1.193e-10 |     151.176 | 3.8732e-10 |  133.267
1.2536e-10 |     149.633 | 4.1207e-10 |  132.826
1.3181e-10 |     147.822 |  4.395e-10 |  132.387
1.3874e-10 |     143.601 | 4.7722e-10 |  131.948
1.4632e-10 |     137.545 | 5.2655e-10 |  131.509
1.5468e-10 |     132.042 | 5.8094e-10 |  131.072
1.6391e-10 |      126.47 | 6.4403e-10 |  130.634
1.7392e-10 |     126.192 |  6.863e-10 |  130.198
 1.845e-10 |     127.618 |  7.214e-10 |  129.762
1.9576e-10 |     125.636 | 7.7913e-10 |  129.327
2.0794e-10 |     123.317 | 8.4492e-10 |  128.893
2.2102e-10 |     122.878 | 9.0324e-10 |  128.459
2.3502e-10 |     122.096 | 9.6866e-10 |  128.026
2.5004e-10 |     120.965 | 1.0428e-09 |  127.594
2.6618e-10 |     120.027 | 1.1217e-09 |  127.162
 2.836e-10 |     118.106 | 1.2176e-09 |  126.731
3.0251e-10 |      116.09 | 1.3245e-09 |  126.301
3.2302e-10 |     114.581 | 1.4362e-09 |  125.871
3.4525e-10 |     112.924 | 1.5611e-09 |  125.442
3.6934e-10 |     111.842 | 1.6897e-09 |  125.014
3.9532e-10 |      111.21 | 1.8226e-09 |  124.586
4.2333e-10 |     110.549 |  1.967e-09 |  124.159
4.5346e-10 |     110.213 | 2.1163e-09 |  123.732
4.8577e-10 |      110.32 | 2.2678e-09 |  123.307
5.2035e-10 |     110.347 | 2.4318e-09 |  122.882
5.5733e-10 |     110.732 | 2.5987e-09 |  122.457
5.9676e-10 |     111.229 | 2.7734e-09 |  122.034
6.3886e-10 |     111.323 | 2.9698e-09 |  121.611
6.8382e-10 |     111.649 |  3.173e-09 |  121.188
7.3172e-10 |     112.297 | 3.3792e-09 |  120.767
7.8288e-10 |     112.022 | 3.6279e-09 |  120.346
8.3781e-10 |     111.422 | 3.9071e-09 |  119.926
8.9691e-10 |     110.783 | 4.2098e-09 |  119.506
9.6061e-10 |     109.768 | 4.5518e-09 |  119.087
1.0295e-09 |     108.573 | 4.9332e-09 |  118.669
 1.104e-09 |     107.426 | 5.3485e-09 |  118.251
1.1844e-09 |     107.146 | 5.7546e-09 |  117.834
1.2704e-09 |     107.839 | 6.1342e-09 |  117.418
1.3622e-09 |     107.838 | 6.5793e-09 |  117.002
1.4608e-09 |     107.261 | 7.0953e-09 |  116.587
1.5662e-09 |     108.236 | 7.5405e-09 |  116.173
1.6773e-09 |     110.413 | 7.9183e-09 |   115.76
1.7942e-09 |     112.015 | 8.3505e-09 |  115.347
1.9169e-09 |     114.022 | 8.7665e-09 |  114.935
2.0457e-09 |     115.742 | 9.2183e-09 |  114.523
2.1813e-09 |     116.729 | 9.7482e-09 |  114.112
2.3241e-09 |     118.231 | 1.0256e-08 |  113.702
2.4737e-09 |     120.444 | 1.0718e-08 |  113.293
2.6311e-09 |      120.51 | 1.1396e-08 |  112.884
2.7984e-09 |     120.502 | 1.2123e-08 |  112.476
2.9742e-09 |     122.776 | 1.2648e-08 |  112.068
3.1573e-09 |     125.117 | 1.3177e-08 |  111.661
3.3491e-09 |     125.752 | 1.3908e-08 |  111.255
3.5515e-09 |     125.955 | 1.4727e-08 |   110.85
3.7661e-09 |     125.465 |  1.568e-08 |  110.445
3.9933e-09 |     126.084 | 1.6546e-08 |  110.041
4.2312e-09 |     128.176 | 1.7248e-08 |  109.638
4.4784e-09 |     130.587 |  1.792e-08 |  109.235
4.7346e-09 |     133.058 | 1.8596e-08 |  108.833
5.0022e-09 |      133.45 | 1.9591e-08 |  108.432
5.2845e-09 |     133.107 | 2.0752e-08 |  108.031
5.5865e-09 |     130.032 | 2.2458e-08 |  107.631
5.9124e-09 |     127.387 | 2.4264e-08 |  107.232
6.2613e-09 |     126.819 | 2.5813e-08 |  106.833
6.6313e-09 |     126.662 | 2.7374e-08 |  106.435
7.0254e-09 |     125.113 | 2.9361e-08 |  106.038
7.4433e-09 |     125.987 | 3.0894e-08 |  105.641
7.8828e-09 |     126.552 | 3.2574e-08 |  105.246
8.3461e-09 |     126.829 | 3.4415e-08 |   104.85
8.8343e-09 |      127.27 | 3.6304e-08 |  104.456
9.3494e-09 |     127.322 | 3.8406e-08 |  104.062
9.8941e-09 |       127.1 | 4.0715e-08 |  103.669
1.0473e-08 |     125.916 | 4.3503e-08 |  103.276
1.1092e-08 |     124.047 | 4.6771e-08 |  102.885
1.1754e-08 |     123.397 | 4.9823e-08 |  102.494
1.2452e-08 |     124.917 | 5.2138e-08 |  102.103
 1.318e-08 |     126.786 | 5.4371e-08 |  101.713
1.3941e-08 |      127.27 | 5.7294e-08 |  101.324
1.4745e-08 |     127.002 | 6.0726e-08 |  100.936
1.5596e-08 |     126.661 | 6.4403e-08 |  100.548
1.6498e-08 |     125.983 | 6.8496e-08 |  100.161
