pressure | temperature |   density | altitude
 0.00275 |      167.08 | 0.0056589 |    146.8
 0.00276 |      166.54 | 0.0056572 |   146.53
 0.00278 |      165.68 | 0.0057393 |   146.26
 0.00279 |      165.73 | 0.0058771 |    146.0
  0.0028 |      165.56 | 0.0058542 |   145.73
 0.00282 |      164.61 | 0.0059132 |   145.47
 0.00284 |      164.44 | 0.0058803 |   145.22
 0.00285 |      164.68 | 0.0059319 |   144.96
 0.00287 |      164.63 | 0.0060082 |    144.7
 0.00288 |       164.2 | 0.0061051 |   144.45
  0.0029 |      164.05 | 0.0060584 |    144.2
 0.00292 |      163.91 | 0.0061074 |   143.94
 0.00294 |      163.77 | 0.0061542 |   143.69
 0.00295 |      163.57 | 0.0062168 |   143.44
 0.00297 |      163.36 |   0.00632 |   143.19
 0.00299 |      163.21 |   0.00632 |   142.95
 0.00301 |      162.58 | 0.0063348 |    142.7
 0.00303 |      162.77 | 0.0063742 |   142.45
 0.00307 |       162.5 |  0.006493 |   141.94
 0.00309 |      162.11 | 0.0065811 |    141.7
 0.00311 |      162.43 | 0.0065541 |   141.46
 0.00312 |      162.44 | 0.0066045 |   141.22
 0.00314 |      162.37 | 0.0066466 |   140.98
 0.00316 |      162.17 | 0.0066873 |   140.74
 0.00318 |      161.62 | 0.0067339 |    140.5
  0.0032 |      161.47 | 0.0067783 |   140.26
 0.00322 |      161.33 | 0.0068168 |   140.03
 0.00324 |      161.54 | 0.0068636 |   139.79
 0.00325 |      161.47 |  0.006911 |   139.55
 0.00327 |       161.1 |   0.00695 |   139.32
 0.00329 |      161.13 | 0.0069979 |   139.09
 0.00331 |       161.0 |  0.007037 |   138.85
 0.00333 |       160.9 | 0.0070926 |   138.62
 0.00335 |      160.88 | 0.0071337 |   138.39
 0.00337 |       160.9 | 0.0071721 |   138.16
 0.00339 |      160.99 | 0.0072116 |   137.93
 0.00343 |      160.91 | 0.0073162 |   137.43
 0.00345 |      160.73 |  0.007366 |   137.21
 0.00347 |      160.61 | 0.0074255 |   136.98
 0.00349 |      160.52 | 0.0075533 |   136.75
 0.00351 |      160.31 | 0.0074957 |   136.53
 0.00353 |      160.17 | 0.0075127 |    136.3
 0.00355 |      160.38 | 0.0075319 |   136.08
 0.00357 |      160.33 |  0.007627 |   135.86
 0.00359 |      160.02 |  0.007675 |   135.64
 0.00361 |      159.74 | 0.0077149 |   135.41
 0.00363 |       159.8 | 0.0077806 |   135.19
 0.00365 |      160.04 | 0.0078346 |   134.97
 0.00367 |      160.02 | 0.0078775 |   134.75
 0.00369 |      159.74 | 0.0079094 |   134.53
 0.00371 |      159.55 | 0.0078806 |   134.31
 0.00373 |      159.59 |  0.007976 |    134.1
 0.00375 |      159.65 | 0.0080919 |   133.88
 0.00378 |       159.5 | 0.0079966 |   133.66
  0.0038 |      159.68 | 0.0081046 |   133.45
 0.00382 |      160.32 | 0.0081629 |   133.23
 0.00384 |      160.24 | 0.0082062 |   133.02
 0.00386 |      160.05 |  0.008249 |    132.8
 0.00388 |      160.32 | 0.0083003 |   132.59
  0.0039 |      160.34 | 0.0083163 |   132.38
 0.00392 |      160.08 | 0.0083909 |   132.16
 0.00395 |      160.01 | 0.0084651 |   131.95
 0.00397 |      160.12 | 0.0085394 |   131.74
 0.00401 |      159.53 | 0.0086728 |    131.3
 0.00403 |      158.97 | 0.0087703 |   131.09
 0.00405 |      158.39 | 0.0088237 |   130.88
 0.00408 |      157.81 | 0.0088775 |   130.67
  0.0041 |      157.67 | 0.0089389 |   130.46
 0.00412 |      157.34 | 0.0089366 |   130.25
 0.00415 |      157.27 | 0.0090638 |   130.05
 0.00417 |      157.21 | 0.0091427 |   129.84
 0.00419 |      156.58 | 0.0092099 |   129.64
 0.00421 |       156.2 | 0.0092322 |   129.44
 0.00423 |      156.19 | 0.0092193 |   129.23
 0.00425 |      155.93 | 0.0093337 |   129.03
 0.00428 |      155.97 | 0.0093768 |   128.83
  0.0043 |      156.04 | 0.0093521 |   128.63
 0.00432 |      156.09 | 0.0094913 |   128.43
 0.00435 |      156.37 | 0.0094948 |   128.23
 0.00437 |      156.21 | 0.0095002 |   128.03
 0.00439 |      156.15 | 0.0096337 |   127.83
 0.00444 |      156.19 | 0.0096836 |   127.41
 0.00446 |       156.2 | 0.0098144 |   127.22
 0.00448 |      156.21 | 0.0098421 |   127.02
 0.00451 |       156.2 | 0.0098572 |   126.82
 0.00453 |      156.09 | 0.0099621 |   126.63
 0.00456 |      156.03 | 0.0099743 |   126.43
 0.00458 |      156.01 |  0.010108 |   126.24
  0.0046 |      155.68 |  0.010097 |   126.04
 0.00463 |      155.43 |  0.010242 |   125.85
 0.00465 |      155.37 |   0.01029 |   125.66
 0.00467 |       155.2 |  0.010275 |   125.47
  0.0047 |      155.11 |  0.010404 |   125.27
 0.00472 |      155.07 |  0.010444 |   125.08
 0.00475 |      154.95 |  0.010436 |   124.89
 0.00477 |      155.19 |  0.010447 |    124.7
 0.00479 |      155.31 |  0.010541 |   124.51
 0.00482 |      155.38 |   0.01067 |   124.32
 0.00484 |      155.35 |  0.010663 |   124.13
 0.00486 |      155.09 |  0.010721 |   123.95
 0.00489 |      155.27 |  0.010766 |   123.76
 0.00491 |      155.34 |  0.010823 |   123.57
 0.00494 |      155.22 |  0.010856 |   123.38
 0.00496 |      155.26 |  0.010903 |    123.2
 0.00499 |      155.49 |     0.011 |   123.01
 0.00501 |      155.54 |  0.011069 |   122.82
 0.00504 |      155.42 |  0.011089 |   122.64
 0.00506 |       155.5 |  0.011111 |   122.45
 0.00511 |      155.41 |  0.011283 |   122.06
 0.00514 |      155.23 |  0.011331 |   121.88
 0.00516 |      155.05 |  0.011395 |    121.7
 0.00519 |      155.09 |  0.011451 |   121.52
 0.00522 |      155.18 |  0.011547 |   121.34
 0.00524 |       155.1 |  0.011506 |   121.15
 0.00527 |      155.08 |  0.011624 |   120.97
 0.00529 |      155.36 |  0.011563 |   120.79
 0.00532 |      155.67 |  0.011695 |   120.61
 0.00534 |      155.69 |  0.011728 |   120.43
 0.00536 |      155.72 |  0.011831 |   120.26
 0.00539 |      155.71 |  0.011828 |   120.08
 0.00542 |      155.75 |  0.011896 |    119.9
