pressure | temperature | density | altitude
   87.08 |       725.5 |   62.21 |     0.99
   85.75 |       724.0 |    61.4 |    1.233
   84.28 |       722.0 |   60.54 |    1.505
   82.85 |       719.7 |   59.73 |    1.773
   81.38 |       717.4 |   58.89 |    2.053
   79.95 |       715.0 |   58.08 |    2.329
   78.48 |       712.8 |   57.21 |    2.617
   77.03 |       710.7 |   56.34 |    2.905
   75.86 |       708.7 |   55.66 |    3.141
   74.53 |       707.0 |   54.84 |    3.412
   73.23 |       704.7 |   54.08 |    3.682
   71.78 |       702.0 |   53.24 |    3.987
   70.38 |       699.3 |   52.43 |    4.286
   69.03 |       697.6 |   51.56 |    4.579
   67.68 |       695.6 |   50.71 |    4.877
    66.4 |       692.7 |   49.98 |    5.165
   64.98 |       690.3 |    49.1 |    5.488
   63.71 |       688.3 |   48.29 |    5.783
   62.33 |       686.0 |   47.41 |    6.109
   60.88 |       683.5 |   46.49 |    6.458
   59.73 |       681.0 |    45.8 |    6.739
   58.18 |       678.0 |   44.82 |    7.126
   56.93 |       675.8 |   44.02 |    7.444
   55.98 |       674.0 |   43.41 |     7.69
   54.73 |       671.6 |    42.6 |    8.081
   53.68 |       669.6 |   41.92 |    8.299
   52.73 |       667.6 |   41.31 |    8.557
   51.73 |       665.7 |   40.65 |    8.833
   50.68 |       663.6 |   39.96 |    9.128
   49.53 |       661.0 |   39.22 |    9.456
  48.429 |       659.3 |   38.46 |    9.777
  47.229 |       656.0 |   37.71 |   10.133
  46.079 |       653.8 |   36.93 |   10.482
  44.879 |       651.7 |   36.09 |   10.854
  43.729 |       648.2 |   35.36 |   11.218
  42.529 |       645.9 |   34.52 |   11.607
  41.279 |       642.4 |    33.7 |   12.022
  40.129 |       639.9 |   32.89 |   12.413
  39.579 |       638.2 |   32.53 |   12.603
  38.979 |       637.0 |    32.1 |   12.813
  38.379 |       635.1 |    31.7 |   13.026
  37.829 |       634.1 |    31.3 |   13.224
  37.279 |       632.5 |   30.93 |   13.424
  36.729 |       631.1 |   30.54 |   13.627
  36.129 |       629.5 |   30.12 |   13.851
  35.579 |       628.1 |   29.73 |   14.059
  34.979 |       626.7 |    29.3 |   14.289
  34.479 |       625.1 |   28.96 |   14.484
  33.879 |       623.5 |   28.53 |    14.72
  33.379 |       621.9 |   28.19 |    14.92
  32.879 |       620.5 |   27.83 |   15.122
  32.379 |       619.1 |   27.47 |   15.327
  31.779 |       617.3 |   27.04 |   15.577
  31.229 |       615.8 |   26.64 |   15.809
  30.679 |       614.2 |   26.24 |   16.044
  30.179 |       612.6 |   25.89 |   16.262
  29.629 |       611.0 |   25.48 |   16.505
  29.179 |       609.5 |   25.16 |   16.706
  28.679 |       607.8 |    24.8 |   16.933
  28.179 |       606.1 |   24.44 |   17.163
  27.659 |       604.3 |   24.07 |   17.406
  27.199 |       602.5 |   23.74 |   17.625
  26.659 |       600.9 |   23.33 |   17.885
  26.249 |       599.1 |   23.04 |   18.085
  25.759 |       597.5 |   22.67 |   18.329
  25.349 |       595.7 |   22.38 |   18.535
  24.929 |       593.9 |   22.08 |   18.749
  24.469 |       592.3 |   21.73 |   18.988
  24.049 |       590.3 |   21.43 |   19.208
  23.599 |       588.5 |   21.09 |   19.449
  23.209 |       586.4 |   20.82 |    19.66
  22.819 |       584.4 |   20.54 |   19.874
  22.429 |       582.6 |   20.25 |   20.091
  22.009 |       580.6 |   19.94 |   20.328
