# name = name of planet
# star_teff = effective temperature of star [K]
# star_radius = radius of star [solar radii]
# planet_a = semimajor axis of planet's orbit [AU]
# planet_radius = radius of planet [Earth radii]

           name | star_teff | star_radius |         planet_a | planet_radius
        55 Cnce |    5196.0 |        0.94 |  0.0154269217523 |          2.17
     BD+20 594b |    5766.0 |        0.93 |   0.241264745167 |          2.23
      CoRoT-10b |    5075.0 |        0.79 |   0.115070553979 |         10.87
      CoRoT-11b |    6440.0 |        1.37 |  0.0438850408343 |         16.03
      CoRoT-12b |    5675.0 |        1.12 |  0.0401454948389 |         16.14
      CoRoT-13b |    5945.0 |        1.01 |  0.0507602538677 |          9.92
      CoRoT-14b |    6035.0 |        1.21 |  0.0268899493795 |         12.22
      CoRoT-16b |    5650.0 |        1.19 |  0.0619643219561 |         13.11
      CoRoT-17b |    5740.0 |        1.59 |  0.0460534201681 |         11.43
      CoRoT-18b |    5440.0 |         1.0 |  0.0295223172585 |         14.68
      CoRoT-19b |    6090.0 |        1.65 |  0.0513967271327 |         14.46
       CoRoT-1b |    5950.0 |        1.11 |  0.0253901226791 |          16.7
      CoRoT-20b |    5880.0 |        1.02 |  0.0898640740613 |          9.42
      CoRoT-22b |    5939.0 |        1.14 |  0.0916912033027 |          4.88
      CoRoT-23b |    5900.0 |        1.61 |  0.0512735237615 |         11.77
      CoRoT-24b |    4950.0 |        0.86 |  0.0435814491309 |           3.7
      CoRoT-24c |    4950.0 |        0.86 |  0.0719693655372 |           5.0
      CoRoT-25b |    6040.0 |        1.19 |    0.05643179321 |         12.11
      CoRoT-26b |    5590.0 |        1.79 |    0.05226240516 |         14.12
      CoRoT-27b |    5900.0 |        1.08 |  0.0476002036251 |        11.287
      CoRoT-28b |    5150.0 |        1.78 |  0.0603287390881 |        10.705
      CoRoT-29b |    5260.0 |         0.9 |  0.0385789273403 |        10.088
       CoRoT-2b |    5625.0 |        0.91 |  0.0279549841057 |        16.432
       CoRoT-3b |    6740.0 |        1.56 |  0.0565712687246 |         11.32
       CoRoT-4b |    6190.0 |        1.17 |  0.0944305024096 |         13.34
       CoRoT-5b |    6100.0 |        1.19 |  0.0496144781031 |        15.558
       CoRoT-6b |    6090.0 |        1.02 |  0.0850744848897 |        13.068
       CoRoT-7b |    5259.0 |        0.82 |  0.0170944910049 |         1.585
       CoRoT-8b |    5080.0 |        0.77 |  0.0630057391318 |          6.39
       CoRoT-9b |    5625.0 |        0.94 |   0.406431649565 |         11.77
EPIC 211822797b |    3880.0 |        0.59 |   0.128098961799 |           2.2
EPIC 220674823b |    5590.0 |        0.83 |  0.0108047031982 |          1.46
EPIC 220674823c |    5590.0 |        0.83 |  0.0640564546752 |          2.53
       GJ 1132b |    3270.0 |        0.21 |   0.015621257636 |          1.16
       GJ 1214b |    3252.0 |       0.211 |  0.0143418952323 |          2.72
       GJ 3470b |    3652.0 |        0.48 |   0.031108618778 |          3.88
        GJ 436b |    3416.0 |        0.46 |  0.0293633151718 |          4.17
      HAT-P-11b |    4780.0 |        0.75 |  0.0543257129394 |          4.73
      HAT-P-12b |    4650.0 |         0.7 |  0.0383046254949 |        10.749
      HAT-P-13b |    5653.0 |        1.56 |  0.0427388682488 |        14.258
      HAT-P-14b |    6600.0 |        1.47 |  0.0606202429137 |         12.89
      HAT-P-15b |    5568.0 |        1.08 |  0.0962046309554 |        12.016
      HAT-P-16b |    6158.0 |        1.24 |  0.0413349635089 |        14.448
