# These data come from 
# wavelength = in micron
# albedo = reflectivity at this wavelength
#
wavelength |       albedo
0.34999999 |   0.81724125
0.35100001 |   0.81729156
     0.352 |   0.82132566
0.35299999 |   0.82397527
     0.354 |   0.82385731
0.35499999 |   0.82033724
0.35600001 |   0.81577086
0.35699999 |   0.81326371
0.35800001 |   0.81488168
     0.359 |   0.81852907
0.36000001 |   0.82106614
     0.361 |   0.82022613
0.36199999 |   0.81721669
0.36300001 |   0.81411546
0.36399999 |   0.81255198
0.36500001 |   0.81235778
     0.366 |   0.81291819
0.36700001 |   0.81365198
     0.368 |   0.81412089
0.36899999 |   0.81392127
      0.37 |   0.81283617
0.37099999 |   0.81140298
0.37200001 |   0.81034595
     0.373 |    0.8101781
0.37400001 |   0.81056505
     0.375 |   0.81096357
0.37599999 |   0.81092685
     0.377 |   0.81040746
0.37799999 |   0.80945754
0.37900001 |   0.80819416
      0.38 |   0.80700845
0.38100001 |   0.80635923
     0.382 |   0.80654156
0.38299999 |   0.80720437
     0.384 |   0.80783463
0.38499999 |   0.80803996
0.38600001 |   0.80791116
0.38699999 |   0.80766118
0.38800001 |   0.80750769
     0.389 |   0.80768645
0.38999999 |   0.80843884
     0.391 |   0.80985737
0.39199999 |   0.81144196
0.39300001 |   0.81254441
0.39399999 |   0.81274205
0.39500001 |   0.81252116
     0.396 |   0.81259328
0.39700001 |   0.81350189
     0.398 |    0.8151105
0.39899999 |   0.81711513
0.40000001 |   0.81923306
0.40099999 |   0.82126975
0.40200001 |   0.82305127
     0.403 |   0.82445043
0.40400001 |   0.82552028
     0.405 |   0.82635641
0.40599999 |    0.8270393
0.40700001 |   0.82757062
0.40799999 |   0.82793301
0.40900001 |   0.82812202
      0.41 |   0.82817793
0.41100001 |   0.82815176
     0.412 |   0.82810229
0.41299999 |   0.82811052
     0.414 |   0.82826537
0.41499999 |   0.82862288
0.41600001 |   0.82912034
     0.417 |   0.82966179
0.41800001 |   0.83017045
     0.419 |   0.83063555
0.41999999 |   0.83106691
     0.421 |   0.83145642
0.42199999 |   0.83174598
0.42300001 |   0.83186108
0.42399999 |   0.83177239
0.42500001 |   0.83162189
     0.426 |   0.83159429
0.42699999 |   0.83182329
     0.428 |   0.83223379
0.42899999 |   0.83269686
0.43000001 |   0.83310801
0.43099999 |    0.8334493
0.43200001 |   0.83372372
     0.433 |   0.83393645
0.43399999 |   0.83409095
     0.435 |   0.83419114
0.43599999 |   0.83424121
0.43700001 |    0.8342452
0.43799999 |   0.83420724
0.43900001 |   0.83413088
      0.44 |   0.83402008
0.44100001 |   0.83387941
     0.442 |   0.83371246
0.44299999 |   0.83352309
0.44400001 |   0.83331621
0.44499999 |   0.83310318
0.44600001 |   0.83293062
     0.447 |   0.83285367
0.44800001 |    0.8329019
     0.449 |   0.83300304
0.44999999 |   0.83306223
0.45100001 |   0.83301508
0.45199999 |   0.83292729
0.45300001 |   0.83289498
     0.454 |   0.83298451
0.45500001 |   0.83313143
     0.456 |    0.8332389
0.45699999 |   0.83323526
     0.458 |    0.8331508
0.45899999 |   0.83304077
0.46000001 |    0.8329553
     0.461 |    0.8329168
0.46200001 |   0.83294421
     0.463 |   0.83304101
0.46399999 |   0.83316016
     0.465 |   0.83323926
0.46599999 |   0.83323807
0.46700001 |   0.83319771
0.46799999 |   0.83318281
0.46900001 |    0.8332361
      0.47 |   0.83332592
0.47099999 |   0.83340073
     0.472 |   0.83341634
0.47299999 |   0.83335972
0.47400001 |   0.83322543
0.47499999 |   0.83302724
0.47600001 |   0.83285767
     0.477 |   0.83283067
0.47799999 |   0.83300966
     0.479 |   0.83325702
0.47999999 |   0.83338434
0.48100001 |   0.83326328
0.48199999 |   0.83299607
0.48300001 |   0.83274496
     0.484 |   0.83263171
0.48500001 |   0.83262902
     0.486 |   0.83266801
0.48699999 |   0.83269298
0.48800001 |   0.83268911
0.48899999 |   0.83265525
0.49000001 |   0.83258897
     0.491 |   0.83249938
0.49200001 |   0.83239728
     0.493 |   0.83229381
0.49399999 |    0.8322078
     0.495 |   0.83215624
0.49599999 |   0.83215064
0.49700001 |   0.83217078
     0.498 |    0.8321889
0.49900001 |     0.832183
       0.5 |   0.83214796
0.50099999 |   0.83208662
0.50199997 |   0.83200192
0.50300002 |   0.83191818
0.50400001 |   0.83186221
     0.505 |   0.83185142
0.50599998 |   0.83185667
0.50700003 |   0.83183938
0.50800002 |   0.83177561
     0.509 |   0.83170325
0.50999999 |   0.83167529
0.51099998 |   0.83172536
0.51200002 |   0.83179921
0.51300001 |   0.83181953
     0.514 |   0.83173913
0.51499999 |   0.83161479
0.51599997 |   0.83153194
0.51700002 |   0.83155245
0.51800001 |   0.83164495
0.51899999 |   0.83175462
0.51999998 |   0.83183581
0.52100003 |    0.8318761
0.52200001 |   0.83187217
     0.523 |   0.83182883
0.52399999 |   0.83178508
0.52499998 |   0.83178788
0.52600002 |   0.83186609
0.52700001 |   0.83197522
     0.528 |   0.83205181
0.52899998 |   0.83205062
0.52999997 |   0.83199662
0.53100002 |   0.83193266
0.53200001 |   0.83189291
0.53299999 |   0.83187723
0.53399998 |   0.83187634
0.53500003 |   0.83188397
0.53600001 |   0.83190209
     0.537 |   0.83193517
0.53799999 |   0.83198535
0.53899997 |   0.83204561
0.54000002 |   0.83210677
0.54100001 |   0.83216113
     0.542 |   0.83220768
0.54299998 |   0.83224708
0.54400003 |   0.83228004
0.54500002 |   0.83230704
     0.546 |    0.8323288
0.54699999 |   0.83234608
0.54799998 |   0.83235919
0.54900002 |   0.83236927
0.55000001 |   0.83237654
     0.551 |   0.83238184
0.55199999 |   0.83238578
0.55299997 |   0.83239126
0.55400002 |   0.83241105
0.55500001 |   0.83245957
0.55599999 |   0.83254194
0.55699998 |    0.8326236
0.55800003 |   0.83266008
0.55900002 |   0.83262366
      0.56 |   0.83255458
0.56099999 |   0.83250993
0.56199998 |   0.83252865
0.56300002 |   0.83257854
0.56400001 |   0.83260983
     0.565 |   0.83258539
0.56599998 |   0.83252114
0.56699997 |    0.8324461
0.56800002 |   0.83238256
0.56900001 |   0.83232439
0.56999999 |   0.83225858
0.57099998 |   0.83217949
0.57200003 |   0.83211166
0.57300001 |    0.8320868
     0.574 |   0.83212996
0.57499999 |   0.83223945
0.57599998 |   0.83240652
0.57700002 |   0.83260751
0.57800001 |   0.83275717
     0.579 |   0.83275539
0.57999998 |    0.8325398
0.58099997 |   0.83220047
0.58200002 |   0.83186632
     0.583 |   0.83164006
0.58399999 |   0.83152145
0.58499998 |    0.8314845
0.58600003 |   0.83149958
0.58700001 |   0.83152175
     0.588 |   0.83150202
0.58899999 |   0.83140743
0.58999997 |   0.83126873
0.59100002 |   0.83113295
0.59200001 |   0.83103424
0.59299999 |   0.83095759
0.59399998 |   0.83087552
0.59500003 |   0.83076483
0.59600002 |   0.83061779
     0.597 |   0.83043122
0.59799999 |   0.83020961
0.59899998 |   0.82998884
0.60000002 |   0.82981277
0.60100001 |   0.82970935
     0.602 |   0.82964462
0.60299999 |   0.82956874
0.60399997 |   0.82944578
0.60500002 |   0.82929426
0.60600001 |   0.82914633
0.60699999 |   0.82902753
0.60799998 |   0.82893842
0.60900003 |   0.82887208
0.61000001 |   0.82882005
     0.611 |   0.82876331
0.61199999 |   0.82868004
0.61299998 |   0.82855523
0.61400002 |   0.82839912
0.61500001 |   0.82822829
     0.616 |   0.82805693
0.61699998 |    0.8278895
0.61799997 |   0.82772815
0.61900002 |    0.8275727
      0.62 |   0.82741493
0.62099999 |   0.82724446
0.62199998 |   0.82705402
0.62300003 |    0.8268494
0.62400001 |   0.82663953
     0.625 |   0.82643026
0.62599999 |   0.82621562
0.62699997 |   0.82598549
0.62800002 |   0.82573861
0.62900001 |   0.82549483
      0.63 |   0.82528001
0.63099998 |   0.82511264
0.63200003 |   0.82496709
0.63300002 |   0.82480758
     0.634 |   0.82461083
0.63499999 |   0.82438833
0.63599998 |   0.82416469
0.63700002 |    0.8239572
0.63800001 |   0.82377261
     0.639 |   0.82361013
0.63999999 |   0.82346958
0.64099997 |   0.82333428
0.64200002 |   0.82318819
0.64300001 |   0.82301652
0.64399999 |    0.8228212
0.64499998 |   0.82261068
0.64600003 |   0.82239151
0.64700001 |    0.8221792
     0.648 |   0.82198709
0.64899999 |   0.82182539
0.64999998 |    0.8216728
0.65100002 |    0.8215012
0.65200001 |   0.82129407
     0.653 |    0.8210665
0.65399998 |   0.82084322
0.65499997 |    0.8206448
